date, pm25, pm10, o3, no2, so2, co
2023/12/6, 54, 26, , 21, , 5
2023/12/7, 54, 37, , 23, , 5
2023/12/8, 59, 16, , 15, , 4
2023/12/9, 33, 9, , 13, , 5
2023/12/10, 27, 14, , 11, , 3
2023/12/11, 34, 14, , 16, , 4
2023/12/12, 55, 17, , 17, , 5
2023/12/13, 38, 26, , 22, , 5
2023/12/14, 64, 27, , 23, , 6
2023/12/15, 62, 48, , 28, 1, 8
2023/12/16, 94, 36, , 21, , 7
2023/12/17, 75, 23, , 18, , 6
2023/12/18, 66, 22, , 23, 1, 6
2023/12/19, 50, 24, , 17, , 4
2023/12/20, 43, 18, , 15, , 5
2023/12/21, 44, 23, , 16, , 5
2023/12/22, 49, 32, , 21, 7, 6
2023/12/23, 64, 18, , , , 5
2023/12/24, 41, 18, , , , 4
2023/12/25, 42, 20, , , , 5
2023/12/26, 60, 20, , , , 4
2023/12/27, 45, 24, , 17, 2, 4
2023/12/28, 50, 27, , , 3, 4
2023/12/29, 47, 36, , 18, , 5
2023/12/30, 71, 22, , 13, , 4
2023/12/31, 46, 14, , 6, , 2
2024/1/1, 33, 20, , 7, 1, 2
2023/7/2, 67, 17, , 14, , 4
2023/7/3, 54, 19, , 18, , 6
2023/7/4, 44, 26, , 25, 3, 6
2023/7/5, 62, 48, , 31, , 12
2023/7/6, 90, 63, , 32, 1, 13
2023/7/7, 120, 61, , 30, , 9
2023/7/8, 110, , , , , 
2023/7/10, 75, 37, , 24, , 11
2023/7/11, 81, 49, , 24, 1, 14
2023/7/12, 105, 40, , 25, , 7
2023/7/13, 74, 28, , 15, 1, 3
2023/7/14, 43, 15, , 14, , 4
2023/7/15, 62, 28, , 22, , 6
2023/7/16, 83, 33, , 19, , 8
2023/7/17, 89, 51, , 30, 1, 9
2023/7/18, 119, 17, , 19, , 5
2023/7/19, 59, 11, , 17, , 5
2023/7/20, 29, 20, , 19, , 5
2023/7/21, 48, 27, , 24, , 7
2023/7/22, 68, 29, , 25, , 8
2023/7/23, 74, 32, , 21, 1, 11
2023/7/24, 93, 46, , 31, 1, 12
2023/7/25, 100, 50, , 28, 1, 11
2023/7/26, 102, 56, , 27, 1, 12
2023/7/27, 118, 51, , 29, 1, 10
2023/7/28, 114, 27, , 22, , 5
2023/7/29, 64, 8, , 14, , 4
2023/7/30, 16, 17, , 14, , 4
2023/7/31, 43, 28, , 18, , 6
2023/8/1, 67, 29, , 27, , 7
2023/8/2, 73, 54, , 35, 1, 11
2023/8/3, 100, 59, , 28, 1, 10
2023/8/4, 116, 45, , 32, , 10
2023/8/5, 103, 48, , 30, 1, 11
2023/8/6, 108, 40, , 25, 1, 10
2023/8/7, 102, 64, , 29, 1, 12
2023/8/8, 117, 17, , 18, , 5
2023/8/9, 49, 20, , 18, , 5
2023/8/10, 46, 35, , 28, 1, 9
2023/8/11, 81, 43, , 24, 1, 9
2023/8/12, 88, 35, , 23, , 10
2023/8/13, 77, 11, , 13, , 5
2023/8/14, 27, 20, , 20, , 7
2023/8/15, 53, 32, , 24, , 7
2023/8/16, 107, 33, , 26, , 8
